SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,genre_larger
I'm MeLil Wayne,Lil Wayne,I'm Me,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",63MtsInu01ReWF9M4rl7dq,,The Leak,True,295360.0,48.0,0.571,0.81,11.0,-4.375,0.0,0.253,0.0284,0.0,0.24,0.234,151.025,4.0,pop rap,rap
LostMichael Buble,Michael Buble,Lost,"['adult standards', 'canadian pop', 'lounge']",6vhYDNMZgffPwcdXdvMqCS,https://p.scdn.co/mp3-preview/3f8a4adc6b1f200be7c6edbd5341c5ee1ba0b1ce?cid=b8d3901151d34489a160e3cf0ab1fa94,Call Me Irresponsible (Standard Edition),False,219840.0,64.0,0.518,0.354,11.0,-9.141,1.0,0.029,0.764,0.00055,0.114,0.315,137.749,4.0,canadian pop,pop
HeroNas Featuring Keri Hilson,Nas Featuring Keri Hilson,Hero,"['country rap', 'lgbtq+ hip hop', 'pop rap']",1NRjLmipYrv39gWoqCl2w2,,Nas,True,240000.0,43.0,0.543,0.913,7.0,-5.194,1.0,0.164,0.00121,1.4e-06,0.238,0.358,94.937,4.0,pop rap,rap
I Just Call You MineMartina McBride,Martina McBride,I Just Call You Mine,"['contemporary country', 'country', 'country dawn', 'country road']",0Vx5HrgZHaXz03iu6eQP4g,https://p.scdn.co/mp3-preview/ea226e0abc4d51f6f166dc7c833d4a6995e3e600?cid=b8d3901151d34489a160e3cf0ab1fa94,Shine,False,260386.0,33.0,0.419,0.637,6.0,-5.552,1.0,0.0328,0.0409,0.0,0.13,0.212,148.134,4.0,country,country
Major TomShiny Toy Guns,Shiny Toy Guns,Major Tom,"['dance-punk', 'electronic rock', 'electropop', 'indietronica']",6MQdIVpcXuaa9QpuCd33ei,,Major Tom,False,262333.0,36.0,0.645,0.77,10.0,-6.871,0.0,0.0375,0.0473,0.00345,0.108,0.67,165.033,4.0,electropop,pop
For The First TimeThe Script,The Script,For The First Time,"['celtic rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",09ZcYBGFX16X8GMDrvqQwt,https://p.scdn.co/mp3-preview/dc95f21a49a5cfc603e4e8c7f35a785004f841e9?cid=b8d3901151d34489a160e3cf0ab1fa94,Science & Faith,True,252853.0,65.0,0.396,0.629,9.0,-4.78,1.0,0.0287,0.0328,0.0,0.183,0.358,173.794,4.0,pop,pop
I SmileKirk Franklin,Kirk Franklin,I Smile,"['gospel', 'gospel r&b']",0UQDSP8cz6WmLJckO5jqUQ,https://p.scdn.co/mp3-preview/b52536e8c2924b54877d22c47fb929f53fab06a2?cid=b8d3901151d34489a160e3cf0ab1fa94,Hello Fear,False,307973.0,58.0,0.745,0.753,1.0,-2.408,1.0,0.164,0.223,0.0,0.705,0.589,144.057,4.0,gospel r&b,gospel r&b
F**k Him He's A DJKe$ha,Ke$ha,F**k Him He's A DJ,[],,,,,,,,,,,,,,,,,,,,
Mrs. RightMindless Behavior Featuring Diggy,Mindless Behavior Featuring Diggy,Mrs. Right,['deep pop r&b'],4N4CHJqFZHyB7SBUuSFu1y,,#1 Girl,False,248186.0,50.0,0.384,0.744,8.0,-4.754,1.0,0.185,0.0496,0.0,0.0863,0.52,71.521,4.0,deep pop r&b,pop
FocusedWale Featuring Kid Cudi,Wale Featuring Kid Cudi,Focused,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4w27lZ9zcceZp6rumzGCBx,https://p.scdn.co/mp3-preview/b88e35eb5c0c698bd25e0eb9c1387ce4f6ee2766?cid=b8d3901151d34489a160e3cf0ab1fa94,Ambition,True,212333.0,45.0,0.735,0.801,1.0,-5.067,1.0,0.0554,0.275,0.0,0.137,0.497,123.094,4.0,pop,pop
Lover Of The LightMumford & Sons,Mumford & Sons,Lover Of The Light,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",48dghEx4vhyQQfFLwxPfHD,https://p.scdn.co/mp3-preview/d4a07dcd199cc6d502772d5b9405bb49546aa6cd?cid=b8d3901151d34489a160e3cf0ab1fa94,Babel (Deluxe Version),False,314893.0,58.0,0.301,0.69,2.0,-6.853,1.0,0.0513,0.00776,0.000643,0.273,0.368,106.758,4.0,neo mellow,neo mellow
On My OwnSamantha Barks,Samantha Barks,On My Own,['show tunes'],3Mr6ofzF6ZuYiqHh8qNud3,,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),False,191066.0,53.0,0.396,0.112,0.0,-15.918,1.0,0.0597,0.88,0.0,0.151,0.215,75.35,5.0,show tunes,show tunes
Made MeSnootie Wild Featuring K Camp,Snootie Wild Featuring K Camp,Made Me,"['memphis hip hop', 'trap']",44DNRbTlkVXL80mZa2XwZl,https://p.scdn.co/mp3-preview/50650654b70cb1486b40ce41df6b7be2c184955f?cid=b8d3901151d34489a160e3cf0ab1fa94,Go Mode,True,194746.0,47.0,0.856,0.719,10.0,-6.519,0.0,0.0746,0.0389,9.03e-06,0.0935,0.37,146.032,4.0,trap,rap
I Put A Spell On YouAnnie Lennox,Annie Lennox,I Put A Spell On You,"['europop', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock', 'soft rock']",3sesq9P6ndjuqaq5om7sxT,,Nostalgia,False,212047.0,59.0,0.568,0.355,2.0,-7.99,0.0,0.0359,0.419,1.01e-05,0.126,0.291,174.034,3.0,pop rock,rock
One Man Can Change The WorldBig Sean Featuring Kanye West & John Legend,Big Sean Featuring Kanye West & John Legend,One Man Can Change The World,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",731Pa6Gt7GAdADATMSEL0N,,Dark Sky Paradise,True,254626.0,63.0,0.677,0.579,8.0,-6.665,0.0,0.16,0.773,0.0,0.11,0.312,157.967,4.0,pop rap,rap
Hide AwayDaya,Daya,Hide Away,"['australian pop', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",0uyZ5ckiIUbFZd3P6RWmrj,https://p.scdn.co/mp3-preview/9f08a24048a8c4486b0ecaeb8b50ffc24b104c9e?cid=b8d3901151d34489a160e3cf0ab1fa94,Sit Sti,False,192376.0,66.0,0.885,0.801,11.0,-4.716,0.0,0.0882,0.225,1.65e-06,0.0733,0.466,95.011,4.0,dance pop,pop
HomeOne Direction,One Direction,Home,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",0uZzdkuzJEjFzaRR2HQ5mj,https://p.scdn.co/mp3-preview/d601b0d8daf079319fe613c825d868e44afe77f8?cid=b8d3901151d34489a160e3cf0ab1fa94,Perfect - EP,False,194906.0,61.0,0.42,0.867,9.0,-5.397,1.0,0.0859,0.0115,0.0,0.0851,0.628,78.814,4.0,dance pop,pop
JuiceboxThe Strokes,The Strokes,Juicebox,"['alternative rock', 'garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock']",3jjQHULAVn71k40mKwGMiV,https://p.scdn.co/mp3-preview/91fa282978e81c9e36874dfb499f176d36247838?cid=b8d3901151d34489a160e3cf0ab1fa94,First Impressions Of Earth,False,194573.0,57.0,0.462,0.981,2.0,-2.371,0.0,0.127,0.00166,0.00894,0.0856,0.547,154.995,4.0,rock,rock
Kingdom ComeJAY-Z,JAY-Z,Kingdom Come,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",42x5XhtFhCziVAKodqCLUr,,Kingdom Come,True,263546.0,48.0,,,,,,,,,,,,,pop rap,rap
Kindly UnspokenKate Voegele,Kate Voegele,Kindly Unspoken,['neo mellow'],7GmyuYHwc7nZcvjoAnYWUs,,Don't Look Away (Deluxe Edition),False,244066.0,33.0,0.54,0.367,2.0,-5.924,1.0,0.0283,0.866,0.0,0.114,0.458,110.815,3.0,neo mellow,neo mellow
Love Is GoneDavid Guetta & Chris Willis,David Guetta & Chris Willis,Love Is Gone,"['dance pop', 'edm', 'pop']",2MGRnjJc7C0z3EOEWRqcMw,https://p.scdn.co/mp3-preview/0c89bde4f9ee310013d6e7075d11a6b5e600914d?cid=b8d3901151d34489a160e3cf0ab1fa94,Pop Life,False,199386.0,60.0,0.773,0.813,4.0,-4.609,0.0,0.0797,0.0326,3.77e-05,0.192,0.708,127.931,4.0,dance pop,pop
JoeySugarland,Sugarland,Joey,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",504M3WFELlSIxDi3cf1RTL,,Love On The Inside,False,242120.0,38.0,0.523,0.716,7.0,-4.608,1.0,0.0418,0.00125,0.00128,0.119,0.261,121.981,4.0,country,country
If We Ever Meet AgainTimbaland Featuring Katy Perry,Timbaland Featuring Katy Perry,If We Ever Meet Again,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']",360UM2DaiHZPRu0EsrOvMp,,Shock Value II,False,292706.0,63.0,0.646,0.635,1.0,-7.322,1.0,0.0343,0.00657,0.0,0.0579,0.348,126.062,4.0,dance pop,pop
