Song,Performer,SongID,Year,Peak Position,Artist_Name
Fat Bottomed Girls,Glee Cast,Fat Bottomed GirlsGlee Cast,2011,56.0,Glee Cast
Human Nature,Glee Cast,Human NatureGlee Cast,2012,56.0,Glee Cast
Human Nature,Glee Cast,Human NatureGlee Cast,2012,56.0,Madonna
Human Nature,Glee Cast,Human NatureGlee Cast,2012,56.0,Michael Jackson
Fly / I Believe I Can Fly,Glee Cast,Fly / I Believe I Can FlyGlee Cast,2012,56.0,Glee Cast
New Slaves,Kanye West,New SlavesKanye West,2013,56.0,Kanye West
Love More,Chris Brown Featuring Nicki Minaj,Love MoreChris Brown Featuring Nicki Minaj,2013,23.0,Chris Brown
Love More,Chris Brown Featuring Nicki Minaj,Love MoreChris Brown Featuring Nicki Minaj,2014,23.0,Chris Brown
Furthest Thing,Drake,Furthest ThingDrake,2013,56.0,Drake
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent","It Wasn't MeShaggy Featuring Ricardo ""RikRok"" Ducent",2000,1.0,Shaggy
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent","It Wasn't MeShaggy Featuring Ricardo ""RikRok"" Ducent",2001,1.0,Shaggy
I Know What You Want,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,I Know What You WantBusta Rhymes & Mariah Carey Featuring The Flipmode Squad,2003,3.0,Busta Rhymes
Hey Ya!,OutKast,Hey Ya!OutKast,2003,1.0,OutKast
Hey Ya!,OutKast,Hey Ya!OutKast,2004,1.0,OutKast
Invisible,Clay Aiken,InvisibleClay Aiken,2003,37.0,Hunter Hayes
Invisible,Clay Aiken,InvisibleClay Aiken,2003,37.0,Ashlee Simpson
Invisible,Clay Aiken,InvisibleClay Aiken,2003,37.0,Clay Aiken
Invisible,Clay Aiken,InvisibleClay Aiken,2003,37.0,Alison Moyet
Invisible,Clay Aiken,InvisibleClay Aiken,2004,37.0,Hunter Hayes
Invisible,Clay Aiken,InvisibleClay Aiken,2004,37.0,Ashlee Simpson
Invisible,Clay Aiken,InvisibleClay Aiken,2004,37.0,Clay Aiken
Invisible,Clay Aiken,InvisibleClay Aiken,2004,37.0,Alison Moyet
Invisible,Ashlee Simpson,InvisibleAshlee Simpson,2006,21.0,Hunter Hayes
Invisible,Ashlee Simpson,InvisibleAshlee Simpson,2006,21.0,Ashlee Simpson
Invisible,Ashlee Simpson,InvisibleAshlee Simpson,2006,21.0,Clay Aiken
Invisible,Ashlee Simpson,InvisibleAshlee Simpson,2006,21.0,Alison Moyet
Invisible,Hunter Hayes,InvisibleHunter Hayes,2014,44.0,Hunter Hayes
Invisible,Hunter Hayes,InvisibleHunter Hayes,2014,44.0,Ashlee Simpson
Invisible,Hunter Hayes,InvisibleHunter Hayes,2014,44.0,Clay Aiken
